nome,sigla,superior.sigla,unidade_organizacional.nome,is_siape,total_servidores
COORDENAÇÃO DO CURSO TÉCNICO EM MEIO AMBIENTE DO CAMPUS CABEDELO,CTMA-CB,DDE-CB,CAMPUS CABEDELO,False,7
COORDENAÇÃO DO CURSO SUPERIOR DE TECNOLOGIA EM DESIGN GRÁFICO DO CAMPUS CABEDELO,CCSDG-CB,DDE-CB,CAMPUS CABEDELO,False,9
COORDENAÇÃO DE CONTROLE ACADÊMICO DO CAMPUS CABEDELO,CCA-CB,DDE-CB,CAMPUS CABEDELO,False,3
COORDENAÇÃO DE BIBLIOTECA DO CAMPUS CABEDELO,COB-CB,DDE-CB,CAMPUS CABEDELO,False,4
COORDENAÇÃO DE FORMAÇÃO GERAL DO CAMPUS CABEDELO,COFORG-CB,DDE-CB,CAMPUS CABEDELO,False,18
COORDENAÇÃO DO CURSO TÉCNICO EM RECURSOS PESQUEIROS DO CAMPUS CABEDELO,CCTRP-CB,DDE-CB,CAMPUS CABEDELO,False,11
Comissão Eleitoral do Conselho Superior Campus Campina Grande,CECS-CG,DG-CG,CAMPUS CAMPINA GRANDE,False,0
COORDENAÇÃO DE PROJETOS DO CAMPUS CABEDELO,CPROJ-CB,DDE-CB,CAMPUS CABEDELO,False,1
COORDENAÇÃO DE TURNO DO CAMPUS CABEDELO,CT-CB,DDE-CB,CAMPUS CABEDELO,False,2
Coordenação dos Cursos Superiores - Campus Campina Grande,CCS-CG,DDE-CG,CAMPUS CAMPINA GRANDE,False,11
"DIRETORIA DE COMUNICAÇÃO, MANUTENÇÃO E LOGÍSTICA - REITORIA",DCML-RE,PRAF-RE,REITORIA,False,11
COORDENACÃO DE PROTOCOLO - REITORIA,PROTOCOLO-RE,DCML-RE,REITORIA,False,3
DEPARTAMENTO DE ADMINISTRAÇÃO DE MATERIAIS E RECURSOS PATRIMONIAIS - REITORIA,DEAMRP-RE,PRAF-RE,REITORIA,False,0
COORDENAÇÃO DE ALMOXARIFADO - REITORIA,CA-RE,DAMRP-RE,REITORIA,False,3
COORDENAÇÃO DE LEGISLAÇÃO DE GESTÃO DE PESSOAS - REITORIA,COLGEP-RE,DGEP-RE,REITORIA,False,0
BIBLIOTECA - CAMPUS PATOS ,BIB-PT,DDE-PT,CAMPUS PATOS,False,4
COORDENAÇÃO DE ADMINISTRAÇÃO DE MATERIAIS E RECURSOS PATRIMONIAIS - CAMPUS PATOS,CAMRP-PT,DAPF-PT,CAMPUS PATOS,False,1
COORDENAÇÃO DE CONTROLE ACADÊMICO - CAMPUS PATOS ,CCA-PT ,DDE-PT,CAMPUS PATOS,False,1
COORDENAÇÃO DO CURSO DE EDIFICAÇÕES -  CAMPUS PATOS ,CCED-PT ,DDE-PT,CAMPUS PATOS,False,5
COORDENAÇÃO DO CURSO DE ELETROTÉCNICA - CAMPUS PATOS ,CCEL-PT ,DDE-PT,CAMPUS PATOS,False,3
COORDENAÇÃO DO CURSO DE MANUTENÇÃO E SUPORTE DE INFORMÁTICA - CAMPUS PATOS ,CTMSI-PT ,DDE-PT,CAMPUS PATOS,False,3
DIREÇÃO GERAL - CAMPUS PATOS ,DG-PT ,CAMPUS-PT,CAMPUS PATOS,False,105
COORD. CURSO SUPERIOR TECNOL. SEGURANÇA DO TRABALHO - CAMPUS PATOS,CSTST-PT,DDE-PT,CAMPUS PATOS,False,6
COORDENAÇÃO DE EXECUÇÃO FINANCEIRA - CAMPUS PATOS,COEXF-PT,DAPF-PT,CAMPUS PATOS,False,2
COORDENACAO DE ESTAGIO - CAMPUS PATOS ,CEST-PT,DDE-PT,CAMPUS PATOS,False,1
COORDENAÇÃO DE GESTÃO DE PESSOAS - CAMPUS PATOS ,CGP-PT ,DAPF-PT,CAMPUS PATOS,False,2
COORDENAÇÃO DE MANUTENÇÃO E SEGURANÇA - CAMPUS PATOS,CMSE-PT,DAPF-PT,CAMPUS PATOS,False,1
COORDENAÇÃO PEDAGÓGICA DE APOIO AO ESTUDANTE - CAMPUS PATOS ,COPAE-PT ,DDE-PT,CAMPUS PATOS,False,8
COORDENAÇÃO DE PESQUISA - CAMPUS PATOS ,CPESQ-PT ,DG-PT ,CAMPUS PATOS,False,1
COORDENAÇÃO DE PLANEJAMENTO -  CAMPUS PATOS ,COPLAN-PT,DAPF-PT,CAMPUS PATOS,False,1
